Threads: 2,,(2^32) – 1
Microseconds,,Seconds
9491900, ,9.4919
9779700, ,9.7797
9656880, ,9.65688
9698580, ,9.69858
9732440, ,9.73244
9746960, ,9.74696
9805890, ,9.80589
9758060, ,9.75806
9772340, ,9.77234
9714150, ,9.71415
9711200, ,9.7112
9717040, ,9.71704
9824070, ,9.82407
9898960, ,9.89896
9723130, ,9.72313
9766410, ,9.76641
9826130, ,9.82613
9774280, ,9.77428
9694920, ,9.69492
9708070, ,9.70807
9710370, ,9.71037
9778420, ,9.77842
9888640, ,9.88864
9751780, ,9.75178
9769340, ,9.76934
9766320, ,9.76632
9809530, ,9.80953
9679880, ,9.67988
9494340, ,9.49434
9512020, ,9.51202
9507560, ,9.50756
9473880, ,9.47388
9397000, ,9.397
9542850, ,9.54285
9662560, ,9.66256
9858600, ,9.8586
9757840, ,9.75784
9686270, ,9.68627
9780490, ,9.78049
9739580, ,9.73958
9671200, ,9.6712
10235900, ,10.2359
9840480, ,9.84048
10182400, ,10.1824
9520920, ,9.52092
9618340, ,9.61834
9646710, ,9.64671
9881310, ,9.88131
9723380, ,9.72338
9699380, ,9.69938
, ,
Threads: 4,,(2^32) – 1
Microseconds,,Seconds
8777850, ,8.77785
8858000, ,8.858
8863840, ,8.86384
8792000, ,8.792
8805080, ,8.80508
8776740, ,8.77674
8793110, ,8.79311
8978810, ,8.97881
8916180, ,8.91618
8749160, ,8.74916
9164380, ,9.16438
8886800, ,8.8868
8945310, ,8.94531
8748540, ,8.74854
8934870, ,8.93487
8810180, ,8.81018
8802180, ,8.80218
8818090, ,8.81809
8863040, ,8.86304
8851230, ,8.85123
8836960, ,8.83696
8920540, ,8.92054
8830120, ,8.83012
8819460, ,8.81946
8873350, ,8.87335
8832450, ,8.83245
8754940, ,8.75494
8828040, ,8.82804
8803890, ,8.80389
8828710, ,8.82871
8861560, ,8.86156
8845750, ,8.84575
8816720, ,8.81672
8943080, ,8.94308
8863490, ,8.86349
8893000, ,8.893
8814430, ,8.81443
8771680, ,8.77168
8901040, ,8.90104
8842490, ,8.84249
8800400, ,8.8004
8749630, ,8.74963
8755110, ,8.75511
8851180, ,8.85118
8867790, ,8.86779
8822050, ,8.82205
8802330, ,8.80233
8853340, ,8.85334
8821390, ,8.82139
8874130, ,8.87413
,,
Threads: 8,,(2^32) – 1
Microseconds,,Seconds
7778050, ,7.77805
7860890, ,7.86089
8122530, ,8.12253
8404040, ,8.40404
8165560, ,8.16556
8180140, ,8.18014
8208920, ,8.20892
8192270, ,8.19227
8268060, ,8.26806
8329540, ,8.32954
8136170, ,8.13617
8046000, ,8.046
8281090, ,8.28109
8065820, ,8.06582
7957680, ,7.95768
7931140, ,7.93114
8031660, ,8.03166
8207830, ,8.20783
8210240, ,8.21024
8353660, ,8.35366
8227050, ,8.22705
8633560, ,8.63356
8748270, ,8.74827
8381500, ,8.3815
8383180, ,8.38318
8359720, ,8.35972
8213000, ,8.213
8631560, ,8.63156
8376690, ,8.37669
8507240, ,8.50724
8461490, ,8.46149
8389170, ,8.38917
8413640, ,8.41364
8346860, ,8.34686
8261840, ,8.26184
8749140, ,8.74914
8705270, ,8.70527
8546130, ,8.54613
8459300, ,8.4593
8626540, ,8.62654
8454180, ,8.45418
8584350, ,8.58435
8817790, ,8.81779
8653990, ,8.65399
9065900, ,9.0659
8423570, ,8.42357
8619340, ,8.61934
8809360, ,8.80936
8635110, ,8.63511
8569220, ,8.56922
,,
Threads: 1,,(2^32) – 1
Microseconds,,Seconds
10201700, ,10.2017
10338900, ,10.3389
10531800, ,10.5318
10239400, ,10.2394
10318000, ,10.318
10457100, ,10.4571
10254500, ,10.2545
9930810, ,9.93081
10507200, ,10.5072
10164100, ,10.1641
10248700, ,10.2487
10147900, ,10.1479
10343300, ,10.3433
10230000, ,10.23
9878160, ,9.87816
9731240, ,9.73124
9799860, ,9.79986
9801370, ,9.80137
9726060, ,9.72606
9714650, ,9.71465
9739840, ,9.73984
9727370, ,9.72737
9764890, ,9.76489
9733470, ,9.73347
9715660, ,9.71566
9752010, ,9.75201
9737070, ,9.73707
9776560, ,9.77656
9740760, ,9.74076
9736670, ,9.73667
9725280, ,9.72528
9739810, ,9.73981
9740480, ,9.74048
9818800, ,9.8188
9730640, ,9.73064
9724200, ,9.7242
9785020, ,9.78502
9736740, ,9.73674
9794860, ,9.79486
10250800, ,10.2508
10184400, ,10.1844
10429800, ,10.4298
10395000, ,10.395
10283000, ,10.283
10696800, ,10.6968
10137700, ,10.1377
10673800, ,10.6738
10800800, ,10.8008
11549000, ,11.549
10673800, ,10.6738
